State,State Code,Year,Year Code,Gender,Gender Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
Alabama,1,2010,2010,Female,F,"Unspecified diabetes mellitus, without complications",E14.9,10,308782,Unreliable
Alabama,1,2010,2010,Female,F,"Cardiac arrest, unspecified",I46.9,10,308782,Unreliable
Alabama,1,2010,2010,Female,F,Other ill-defined and unspecified causes of mortality,R99,10,308782,Unreliable
Alabama,1,2010,2010,Female,F,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,22,308782,7.1
Alabama,1,2010,2010,Female,F,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,36,308782,11.7
Alabama,1,2010,2010,Female,F,Intentional self-harm by other and unspecified firearm discharge,X74,12,308782,Unreliable
Alabama,1,2010,2010,Male,M,"Cardiac arrest, unspecified",I46.9,16,300140,Unreliable
Alabama,1,2010,2010,Male,M,Car occupant [any] injured in unspecified traffic accident,V49.9,10,300140,Unreliable
Alabama,1,2010,2010,Male,M,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,49,300140,16.3
Alabama,1,2010,2010,Male,M,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,32,300140,10.7
Alabama,1,2010,2010,Male,M,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,55,300140,18.3
Alabama,1,2010,2010,Male,M,"Intentional self-harm by hanging, strangulation and suffocation",X70,29,300140,9.7
Alabama,1,2010,2010,Male,M,Intentional self-harm by other and unspecified firearm discharge,X74,48,300140,16
Alabama,1,2010,2010,Male,M,Assault by other and unspecified firearm discharge,X95,65,300140,21.7
Alabama,1,2010,2010,Male,M,Assault by sharp object,X99,11,300140,Unreliable
Arizona,4,2010,2010,Female,F,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,30,418862,7.2
Arizona,4,2010,2010,Female,F,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,18,418862,Unreliable
Arizona,4,2010,2010,Female,F,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,36,418862,8.6
Arizona,4,2010,2010,Female,F,Intentional self-harm by other and unspecified firearm discharge,X74,11,418862,Unreliable
Arizona,4,2010,2010,Male,M,Other ill-defined and unspecified causes of mortality,R99,12,437831,Unreliable
Arizona,4,2010,2010,Male,M,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,13,437831,Unreliable
Arizona,4,2010,2010,Male,M,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,43,437831,9.8
Arizona,4,2010,2010,Male,M,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,54,437831,12.3
Arizona,4,2010,2010,Male,M,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,51,437831,11.6
Arizona,4,2010,2010,Male,M,Accidental poisoning by and exposure to alcohol,X45,11,437831,Unreliable
Arizona,4,2010,2010,Male,M,"Intentional self-harm by hanging, strangulation and suffocation",X70,50,437831,11.4
Arizona,4,2010,2010,Male,M,Intentional self-harm by other and unspecified firearm discharge,X74,52,437831,11.9
Arizona,4,2010,2010,Male,M,Assault by other and unspecified firearm discharge,X95,70,437831,16
Arizona,4,2010,2010,Male,M,Assault by sharp object,X99,13,437831,Unreliable
Arkansas,5,2010,2010,Female,F,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,10,187460,Unreliable
Arkansas,5,2010,2010,Female,F,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,14,187460,Unreliable
Arkansas,5,2010,2010,Male,M,"Acute myocardial infarction, unspecified",I21.9,13,188432,Unreliable
Arkansas,5,2010,2010,Male,M,Person injured in collision between other specified motor vehicles (traffic),V87.7,12,188432,Unreliable
Arkansas,5,2010,2010,Male,M,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,34,188432,18
Arkansas,5,2010,2010,Male,M,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,26,188432,13.8
Arkansas,5,2010,2010,Male,M,"Intentional self-harm by hanging, strangulation and suffocation",X70,17,188432,Unreliable
Arkansas,5,2010,2010,Male,M,Intentional self-harm by other and unspecified firearm discharge,X74,30,188432,15.9
Arkansas,5,2010,2010,Male,M,Assault by other and unspecified firearm discharge,X95,34,188432,18
California,6,2010,2010,Female,F,"Stomach, unspecified - Malignant neoplasms",C16.9,11,2604832,Unreliable
California,6,2010,2010,Female,F,"Colon, unspecified - Malignant neoplasms",C18.9,14,2604832,Unreliable
California,6,2010,2010,Female,F,"Breast, unspecified - Malignant neoplasms",C50.9,33,2604832,1.3
California,6,2010,2010,Female,F,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,25,2604832,1
California,6,2010,2010,Female,F,Malignant neoplasm of ovary,C56,16,2604832,Unreliable
California,6,2010,2010,Female,F,"Brain, unspecified - Malignant neoplasms",C71.9,10,2604832,Unreliable
California,6,2010,2010,Female,F,Other obesity,E66.8,13,2604832,Unreliable
California,6,2010,2010,Female,F,Hypertensive heart disease without (congestive) heart failure,I11.9,10,2604832,Unreliable
California,6,2010,2010,Female,F,"Cardiomyopathy, unspecified",I42.9,11,2604832,Unreliable
California,6,2010,2010,Female,F,Phlebitis and thrombophlebitis of other deep vessels of lower extremities,I80.2,11,2604832,Unreliable
California,6,2010,2010,Female,F,Systemic lupus erythematosus with organ or system involvement,M32.1,10,2604832,Unreliable
California,6,2010,2010,Female,F,Death from any obstetric cause occurring more than 42 days but less than one year after delivery,O96,11,2604832,Unreliable
California,6,2010,2010,Female,F,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,14,2604832,Unreliable
California,6,2010,2010,Female,F,"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident",V43.5,12,2604832,Unreliable
California,6,2010,2010,Female,F,"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident",V43.6,10,2604832,Unreliable
California,6,2010,2010,Female,F,Person injured in collision between other specified motor vehicles (traffic),V87.7,13,2604832,Unreliable
California,6,2010,2010,Female,F,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,29,2604832,1.1
California,6,2010,2010,Female,F,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,13,2604832,Unreliable
California,6,2010,2010,Female,F,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,43,2604832,1.7
California,6,2010,2010,Female,F,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,79,2604832,3
California,6,2010,2010,Female,F,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,28,2604832,1.1
California,6,2010,2010,Female,F,"Intentional self-harm by hanging, strangulation and suffocation",X70,37,2604832,1.4
California,6,2010,2010,Female,F,Intentional self-harm by handgun discharge,X72,13,2604832,Unreliable
California,6,2010,2010,Female,F,Assault by other and unspecified firearm discharge,X95,32,2604832,1.2
California,6,2010,2010,Female,F,Assault by sharp object,X99,12,2604832,Unreliable
California,6,2010,2010,Male,M,Unspecified human immunodeficiency virus [HIV] disease,B24,15,2713045,Unreliable
California,6,2010,2010,Male,M,"Stomach, unspecified - Malignant neoplasms",C16.9,12,2713045,Unreliable
California,6,2010,2010,Male,M,"Colon, unspecified - Malignant neoplasms",C18.9,14,2713045,Unreliable
California,6,2010,2010,Male,M,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,14,2713045,Unreliable
California,6,2010,2010,Male,M,"Testis, unspecified - Malignant neoplasms",C62.9,19,2713045,Unreliable
California,6,2010,2010,Male,M,"Brain, unspecified - Malignant neoplasms",C71.9,21,2713045,0.8
California,6,2010,2010,Male,M,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,13,2713045,Unreliable
California,6,2010,2010,Male,M,Acute myeloid leukaemia - Malignant neoplasms,C92.0,11,2713045,Unreliable
California,6,2010,2010,Male,M,Other obesity,E66.8,21,2713045,0.8
California,6,2010,2010,Male,M,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,12,2713045,Unreliable
