State,State Code,Year,Year Code,Gender,Gender Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
Alabama,1,2014,2014,Female,F,Other ill-defined and unspecified causes of mortality,R99,16,318121,Unreliable
Alabama,1,2014,2014,Female,F,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,21,318121,6.6
Alabama,1,2014,2014,Female,F,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,18,318121,Unreliable
Alabama,1,2014,2014,Female,F,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,34,318121,10.7
Alabama,1,2014,2014,Female,F,Intentional self-harm by other and unspecified firearm discharge,X74,10,318121,Unreliable
Alabama,1,2014,2014,Female,F,Assault by other and unspecified firearm discharge,X95,12,318121,Unreliable
Alabama,1,2014,2014,Male,M,"Acute myocardial infarction, unspecified",I21.9,15,308266,Unreliable
Alabama,1,2014,2014,Male,M,"Cardiac arrest, unspecified",I46.9,11,308266,Unreliable
Alabama,1,2014,2014,Male,M,Other ill-defined and unspecified causes of mortality,R99,25,308266,8.1
Alabama,1,2014,2014,Male,M,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,10,308266,Unreliable
Alabama,1,2014,2014,Male,M,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,57,308266,18.5
Alabama,1,2014,2014,Male,M,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,36,308266,11.7
Alabama,1,2014,2014,Male,M,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,60,308266,19.5
Alabama,1,2014,2014,Male,M,"Intentional self-harm by hanging, strangulation and suffocation",X70,35,308266,11.4
Alabama,1,2014,2014,Male,M,Intentional self-harm by other and unspecified firearm discharge,X74,46,308266,14.9
Alabama,1,2014,2014,Male,M,Assault by other and unspecified firearm discharge,X95,72,308266,23.4
Alaska,2,2014,2014,Male,M,Intentional self-harm by handgun discharge,X72,13,63739,Unreliable
Arizona,4,2014,2014,Female,F,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,27,434955,6.2
Arizona,4,2014,2014,Female,F,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,18,434955,Unreliable
Arizona,4,2014,2014,Female,F,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,28,434955,6.4
Arizona,4,2014,2014,Female,F,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,10,434955,Unreliable
Arizona,4,2014,2014,Female,F,"Intentional self-harm by hanging, strangulation and suffocation",X70,17,434955,Unreliable
Arizona,4,2014,2014,Female,F,Intentional self-harm by other and unspecified firearm discharge,X74,11,434955,Unreliable
Arizona,4,2014,2014,Female,F,Assault by other and unspecified firearm discharge,X95,12,434955,Unreliable
Arizona,4,2014,2014,Male,M,Other ill-defined and unspecified causes of mortality,R99,15,462790,Unreliable
Arizona,4,2014,2014,Male,M,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,16,462790,Unreliable
Arizona,4,2014,2014,Male,M,Person injured in collision between other specified motor vehicles (traffic),V87.7,10,462790,Unreliable
Arizona,4,2014,2014,Male,M,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,40,462790,8.6
Arizona,4,2014,2014,Male,M,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,14,462790,Unreliable
Arizona,4,2014,2014,Male,M,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,60,462790,13
Arizona,4,2014,2014,Male,M,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,61,462790,13.2
Arizona,4,2014,2014,Male,M,Accidental poisoning by and exposure to alcohol,X45,17,462790,Unreliable
Arizona,4,2014,2014,Male,M,"Intentional self-harm by hanging, strangulation and suffocation",X70,52,462790,11.2
Arizona,4,2014,2014,Male,M,Intentional self-harm by handgun discharge,X72,15,462790,Unreliable
Arizona,4,2014,2014,Male,M,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,10,462790,Unreliable
Arizona,4,2014,2014,Male,M,Intentional self-harm by other and unspecified firearm discharge,X74,49,462790,10.6
